sub,source,target,fold,test_acc,train_acc
1,['2'],"['4', '5', '6', '8']",0,0.9508482503507802,0.9755527210884354
1,['2'],"['4', '5', '6', '8']",1,0.9546749436625707,0.9772534013605442
1,['2'],"['4', '5', '6', '8']",2,0.9511884008673838,0.9757653061224489
1,['2'],"['4', '5', '6', '8']",3,0.9496152047280921,0.9785289115646258
1,['2'],"['4', '5', '6', '8']",4,0.9500403928738467,0.9759778911564626
2,['2'],"['4', '5', '6', '8']",0,0.9105055057182943,0.9668437832093517
2,['2'],"['4', '5', '6', '8']",1,0.9111857489052336,0.96875
2,['2'],"['4', '5', '6', '8']",2,0.9212193359125888,0.9683315621679065
2,['2'],"['4', '5', '6', '8']",3,0.9155222992219718,0.963230605738576
2,['2'],"['4', '5', '6', '8']",4,0.9146719952382977,0.9659936238044633
3,['2'],"['4', '5', '6', '8']",0,0.9150085034013605,0.9751275510204082
3,['2'],"['4', '5', '6', '8']",1,0.9107568027210884,0.9755527210884354
3,['2'],"['4', '5', '6', '8']",2,0.9175170068027211,0.9787414965986394
3,['2'],"['4', '5', '6', '8']",3,0.9253826530612245,0.9781037414965986
3,['2'],"['4', '5', '6', '8']",4,0.9150510204081632,0.9764030612244898
4,['2'],"['4', '5', '6', '8']",0,0.8447051821621392,0.9568544102019129
4,['2'],"['4', '5', '6', '8']",1,0.819665858946563,0.9485653560042508
4,['2'],"['4', '5', '6', '8']",2,0.8147770267397866,0.9576955782312925
4,['2'],"['4', '5', '6', '8']",3,0.8333545891255367,0.953241232731137
4,['2'],"['4', '5', '6', '8']",4,0.8249372954130001,0.953028692879915
5,['2'],"['4', '5', '6', '8']",0,0.8967305811827728,0.9351615646258503
5,['2'],"['4', '5', '6', '8']",1,0.9125037200799285,0.9419642857142857
5,['2'],"['4', '5', '6', '8']",2,0.9109731729093151,0.9423894557823129
5,['2'],"['4', '5', '6', '8']",3,0.909825262531355,0.9383503401360545
5,['2'],"['4', '5', '6', '8']",4,0.9132689936652353,0.9347363945578231
6,['2'],"['4', '5', '6', '8']",0,0.9205390927256494,0.9740646258503401
6,['2'],"['4', '5', '6', '8']",1,0.9171803919901365,0.9738520408163265
6,['2'],"['4', '5', '6', '8']",2,0.9206241231240169,0.9725765306122449
6,['2'],"['4', '5', '6', '8']",3,0.92891458696484,0.9751275510204082
6,['2'],"['4', '5', '6', '8']",4,0.9220696398962629,0.9713010204081632
7,['2'],"['4', '5', '6', '8']",0,0.7219269526765594,0.9223899638528599
7,['2'],"['4', '5', '6', '8']",1,0.7226922913389174,0.922815224324899
7,['2'],"['4', '5', '6', '8']",2,0.737871508142353,0.9257920476291729
7,['2'],"['4', '5', '6', '8']",3,0.7312385730685829,0.9209183673469388
7,['2'],"['4', '5', '6', '8']",4,0.7271992856839151,0.922815224324899
8,['2'],"['4', '5', '6', '8']",0,0.8654819097827473,0.9904336734693877
8,['2'],"['4', '5', '6', '8']",1,0.8801921687003104,0.9929846938775511
8,['2'],"['4', '5', '6', '8']",2,0.8727945240423451,0.9914965986394558
8,['2'],"['4', '5', '6', '8']",3,0.8732196760341823,0.9906462585034014
8,['2'],"['4', '5', '6', '8']",4,0.868883125717444,0.9889455782312925
1,['4'],"['2', '5', '6', '8']",0,0.9570559972787959,0.9772534013605442
1,['4'],"['2', '5', '6', '8']",1,0.9463412560057826,0.9755527210884354
1,['4'],"['2', '5', '6', '8']",2,0.9559079892852588,0.9778911564625851
1,['4'],"['2', '5', '6', '8']",3,0.9493600918406395,0.9751275510204082
1,['4'],"['2', '5', '6', '8']",4,0.9576512606828521,0.9755527210884354
2,['4'],"['2', '5', '6', '8']",0,0.8908634836954211,0.9785334750265675
2,['4'],"['2', '5', '6', '8']",1,0.8878874197525616,0.9793836344314559
2,['4'],"['2', '5', '6', '8']",2,0.8880574805492963,0.979596174282678
2,['4'],"['2', '5', '6', '8']",3,0.8857616597933762,0.9804421768707483
2,['4'],"['2', '5', '6', '8']",4,0.8867395093746014,0.981721572794899
3,['4'],"['2', '5', '6', '8']",0,0.924702380952381,0.9753401360544217
3,['4'],"['2', '5', '6', '8']",1,0.9183248299319728,0.9717261904761905
3,['4'],"['2', '5', '6', '8']",2,0.9196853741496599,0.9740646258503401
3,['4'],"['2', '5', '6', '8']",3,0.919515306122449,0.9736394557823129
3,['4'],"['2', '5', '6', '8']",4,0.8886904761904761,0.9713010204081632
4,['4'],"['2', '5', '6', '8']",0,0.8610780479510287,0.9477040816326531
4,['4'],"['2', '5', '6', '8']",1,0.856104404012923,0.9474914965986394
4,['4'],"['2', '5', '6', '8']",2,0.8513858187383098,0.9485544217687075
4,['4'],"['2', '5', '6', '8']",3,0.8550841693589526,0.9523809523809523
4,['4'],"['2', '5', '6', '8']",4,0.8754888624383608,0.9613095238095238
5,['4'],"['2', '5', '6', '8']",0,0.8986862803452235,0.9389880952380952
5,['4'],"['2', '5', '6', '8']",1,0.8935419412439948,0.9447278911564626
5,['4'],"['2', '5', '6', '8']",2,0.9040006802431869,0.9453656462585034
5,['4'],"['2', '5', '6', '8']",3,0.8971982483737936,0.9462159863945578
5,['4'],"['2', '5', '6', '8']",4,0.868457973725607,0.9398384353741497
6,['4'],"['2', '5', '6', '8']",0,0.9229591836734694,0.9761904761904762
6,['4'],"['2', '5', '6', '8']",1,0.9300595238095238,0.9766206163655685
6,['4'],"['2', '5', '6', '8']",2,0.9173894557823129,0.9751328374070138
6,['4'],"['2', '5', '6', '8']",3,0.9329931972789116,0.9766206163655685
6,['4'],"['2', '5', '6', '8']",4,0.9502125850340136,0.9766206163655685
7,['4'],"['2', '5', '6', '8']",0,0.8414831193128668,0.9417517006802721
7,['4'],"['2', '5', '6', '8']",1,0.8306828811973808,0.9513180272108843
7,['4'],"['2', '5', '6', '8']",2,0.8351900671825836,0.9496173469387755
7,['4'],"['2', '5', '6', '8']",3,0.8289395356748023,0.9485544217687075
7,['4'],"['2', '5', '6', '8']",4,0.8217960710944808,0.9434523809523809
8,['4'],"['2', '5', '6', '8']",0,0.856936354746822,0.9927721088435374
8,['4'],"['2', '5', '6', '8']",1,0.8534075932145742,0.9880952380952381
8,['4'],"['2', '5', '6', '8']",2,0.8732196760341823,0.9921343537414966
8,['4'],"['2', '5', '6', '8']",3,0.8614004506611114,0.9910714285714286
8,['4'],"['2', '5', '6', '8']",4,0.8498363164831427,0.9914965986394558
1,['5'],"['2', '4', '6', '8']",0,0.9414090735150304,0.9742772108843537
1,['5'],"['2', '4', '6', '8']",1,0.9437476083166801,0.9785289115646258
1,['5'],"['2', '4', '6', '8']",2,0.9335430928185722,0.9757653061224489
1,['5'],"['2', '4', '6', '8']",3,0.9390280198988052,0.9757653061224489
1,['5'],"['2', '4', '6', '8']",4,0.9438751647604064,0.9747023809523809
2,['5'],"['2', '4', '6', '8']",0,0.9118272255760564,0.9600340136054422
2,['5'],"['2', '4', '6', '8']",1,0.9216478190630049,0.9706632653061225
2,['5'],"['2', '4', '6', '8']",2,0.9224555735056543,0.9630102040816326
2,['5'],"['2', '4', '6', '8']",3,0.916886319190545,0.9574829931972789
2,['5'],"['2', '4', '6', '8']",4,0.9228381940311198,0.9559948979591837
3,['5'],"['2', '4', '6', '8']",0,0.922406462585034,0.9778911564625851
3,['5'],"['2', '4', '6', '8']",1,0.9260204081632653,0.9802295918367347
3,['5'],"['2', '4', '6', '8']",2,0.921045918367347,0.9798044217687075
3,['5'],"['2', '4', '6', '8']",3,0.9198554421768708,0.9798044217687075
3,['5'],"['2', '4', '6', '8']",4,0.9222789115646258,0.9791666666666666
4,['5'],"['2', '4', '6', '8']",0,0.8911610900897071,0.9685507862303443
4,['5'],"['2', '4', '6', '8']",1,0.9007270099060414,0.9681325685149776
4,['5'],"['2', '4', '6', '8']",2,0.8987287955444071,0.968763280917977
4,['5'],"['2', '4', '6', '8']",3,0.8937545172399133,0.9689757756056099
4,['5'],"['2', '4', '6', '8']",4,0.8934569108456273,0.9657956235394094
5,['5'],"['2', '4', '6', '8']",0,0.8907312925170068,0.9460148777895856
5,['5'],"['2', '4', '6', '8']",1,0.8780187074829932,0.9492029755579171
5,['5'],"['2', '4', '6', '8']",2,0.9,0.946865037194474
5,['5'],"['2', '4', '6', '8']",3,0.8964285714285715,0.9474914965986394
5,['5'],"['2', '4', '6', '8']",4,0.8915391156462585,0.9443145589798088
6,['5'],"['2', '4', '6', '8']",0,0.9545493197278911,0.9800254993625159
6,['5'],"['2', '4', '6', '8']",1,0.9496173469387755,0.9787460148777896
6,['5'],"['2', '4', '6', '8']",2,0.9519557823129252,0.9798044217687075
6,['5'],"['2', '4', '6', '8']",3,0.9503401360544218,0.9785289115646258
6,['5'],"['2', '4', '6', '8']",4,0.9473214285714285,0.9766206163655685
7,['5'],"['2', '4', '6', '8']",0,0.8545794710434561,0.9434523809523809
7,['5'],"['2', '4', '6', '8']",1,0.8557700484735097,0.9464285714285714
7,['5'],"['2', '4', '6', '8']",2,0.8568330640360575,0.9485544217687075
7,['5'],"['2', '4', '6', '8']",3,0.8406752274853304,0.9485544217687075
7,['5'],"['2', '4', '6', '8']",4,0.8590866570286589,0.9415391156462585
8,['5'],"['2', '4', '6', '8']",0,0.8954506802721088,0.9957492029755579
8,['5'],"['2', '4', '6', '8']",1,0.9008503401360545,0.9970244420828905
8,['5'],"['2', '4', '6', '8']",2,0.9046343537414966,0.9957492029755579
8,['5'],"['2', '4', '6', '8']",3,0.9078231292517007,0.9957482993197279
8,['5'],"['2', '4', '6', '8']",4,0.9031037414965987,0.9955366631243359
1,['6'],"['2', '4', '5', '8']",0,0.9180697278911565,0.9725706995534765
1,['6'],"['2', '4', '5', '8']",1,0.9269982993197279,0.9734212204975548
1,['6'],"['2', '4', '5', '8']",2,0.9275510204081633,0.9732085902615352
1,['6'],"['2', '4', '5', '8']",3,0.9209608843537415,0.9721513605442177
1,['6'],"['2', '4', '5', '8']",4,0.9300595238095238,0.9721454390814374
2,['6'],"['2', '4', '5', '8']",0,0.8856814896692458,0.9587585034013606
2,['6'],"['2', '4', '5', '8']",1,0.8780290791599353,0.9491921768707483
2,['6'],"['2', '4', '5', '8']",2,0.884618654876286,0.9519557823129252
2,['6'],"['2', '4', '5', '8']",3,0.8752657086982399,0.9523809523809523
2,['6'],"['2', '4', '5', '8']",4,0.8922710653855964,0.9423894557823129
3,['6'],"['2', '4', '5', '8']",0,0.898469387755102,0.9819302721088435
3,['6'],"['2', '4', '5', '8']",1,0.8982568027210884,0.982780612244898
3,['6'],"['2', '4', '5', '8']",2,0.8990646258503401,0.9815051020408163
3,['6'],"['2', '4', '5', '8']",3,0.8857568027210885,0.9802295918367347
3,['6'],"['2', '4', '5', '8']",4,0.8886054421768708,0.9804421768707483
4,['6'],"['2', '4', '5', '8']",0,0.8773592926373066,0.9725765306122449
4,['6'],"['2', '4', '5', '8']",1,0.8724281584764496,0.9700255102040817
4,['6'],"['2', '4', '5', '8']",2,0.8764240775378337,0.9689625850340136
4,['6'],"['2', '4', '5', '8']",3,0.8737884713484101,0.9696003401360545
4,['6'],"['2', '4', '5', '8']",4,0.8711528651589866,0.9659863945578231
5,['6'],"['2', '4', '5', '8']",0,0.8802346838994941,0.9457908163265306
5,['6'],"['2', '4', '5', '8']",1,0.9129288720717657,0.9523809523809523
5,['6'],"['2', '4', '5', '8']",2,0.9062965009991072,0.9502551020408163
5,['6'],"['2', '4', '5', '8']",3,0.9040857106415544,0.9487670068027211
5,['6'],"['2', '4', '5', '8']",4,0.9086773521533948,0.9440901360544217
6,['6'],"['2', '4', '5', '8']",0,0.9399260235534204,0.9691751700680272
6,['6'],"['2', '4', '5', '8']",1,0.9294247693550445,0.9713010204081632
6,['6'],"['2', '4', '5', '8']",2,0.9362697164236214,0.9723639455782312
6,['6'],"['2', '4', '5', '8']",3,0.9399260235534204,0.9702380952380952
6,['6'],"['2', '4', '5', '8']",4,0.9299774669444326,0.969812925170068
7,['6'],"['2', '4', '5', '8']",0,0.8622331830938005,0.9549319727891157
7,['6'],"['2', '4', '5', '8']",1,0.8537715792159197,0.9540816326530612
7,['6'],"['2', '4', '5', '8']",2,0.8600646313462029,0.9568452380952381
7,['6'],"['2', '4', '5', '8']",3,0.8607874819287354,0.9579081632653061
7,['6'],"['2', '4', '5', '8']",4,0.8618504974912833,0.9568452380952381
8,['6'],"['2', '4', '5', '8']",0,0.850091407678245,0.9963860544217688
8,['6'],"['2', '4', '5', '8']",1,0.8787466519280643,0.9959608843537415
8,['6'],"['2', '4', '5', '8']",2,0.8546830491900854,0.9957482993197279
8,['6'],"['2', '4', '5', '8']",3,0.8676076697419327,0.9951105442176871
8,['6'],"['2', '4', '5', '8']",4,0.8723268568513244,0.9946853741496599
1,['8'],"['2', '4', '5', '6']",0,0.8837960797652962,0.9781037414965986
1,['8'],"['2', '4', '5', '6']",1,0.8822228836260045,0.9802295918367347
1,['8'],"['2', '4', '5', '6']",2,0.8863472086398231,0.9787414965986394
1,['8'],"['2', '4', '5', '6']",3,0.9048003741655682,0.9772534013605442
1,['8'],"['2', '4', '5', '6']",4,0.882180364811429,0.9768282312925171
2,['8'],"['2', '4', '5', '6']",0,0.9146756228211886,0.9693877551020408
2,['8'],"['2', '4', '5', '6']",1,0.9107218773913783,0.9695938762492027
2,['8'],"['2', '4', '5', '6']",2,0.9133577076779186,0.9736394557823129
2,['8'],"['2', '4', '5', '6']",3,0.9141229487288496,0.9651360544217688
2,['8'],"['2', '4', '5', '6']",4,0.9080010203214013,0.9721572794899044
3,['8'],"['2', '4', '5', '6']",0,0.888095238095238,0.9710884353741497
3,['8'],"['2', '4', '5', '6']",1,0.8715136054421768,0.9689625850340136
3,['8'],"['2', '4', '5', '6']",2,0.8887755102040816,0.9721513605442177
3,['8'],"['2', '4', '5', '6']",3,0.882780612244898,0.9734268707482994
3,['8'],"['2', '4', '5', '6']",4,0.891921768707483,0.9693877551020408
4,['8'],"['2', '4', '5', '6']",0,0.8572521679986397,0.9598214285714286
4,['8'],"['2', '4', '5', '6']",1,0.8786770957320184,0.9623724489795918
4,['8'],"['2', '4', '5', '6']",2,0.8488777418806326,0.9545068027210885
4,['8'],"['2', '4', '5', '6']",3,0.8397381397721476,0.9591836734693877
4,['8'],"['2', '4', '5', '6']",4,0.8704301989457576,0.9549319727891157
5,['8'],"['2', '4', '5', '6']",0,0.8722418264529569,0.9413265306122449
5,['8'],"['2', '4', '5', '6']",1,0.8707963096807109,0.9398384353741497
5,['8'],"['2', '4', '5', '6']",2,0.8402703966668084,0.9432397959183674
5,['8'],"['2', '4', '5', '6']",3,0.8680328217337698,0.9423894557823129
5,['8'],"['2', '4', '5', '6']",4,0.8639088474129502,0.9383503401360545
6,['8'],"['2', '4', '5', '6']",0,0.9277697474704532,0.9693877551020408
6,['8'],"['2', '4', '5', '6']",1,0.9520448941416546,0.9664044227089092
6,['8'],"['2', '4', '5', '6']",2,0.950344358472919,0.9655539017648309
6,['8'],"['2', '4', '5', '6']",3,0.9512371396990051,0.9649160110567723
6,['8'],"['2', '4', '5', '6']",4,0.9472408808774764,0.9632149691686158
7,['8'],"['2', '4', '5', '6']",0,0.7669118584973851,0.9517329364235594
7,['8'],"['2', '4', '5', '6']",1,0.7903822441430333,0.9574739527960876
7,['8'],"['2', '4', '5', '6']",2,0.7885964539308644,0.9504571550074421
7,['8'],"['2', '4', '5', '6']",3,0.7941664186402483,0.9532312925170068
7,['8'],"['2', '4', '5', '6']",4,0.7859177686126111,0.9496066340633638
8,['8'],"['2', '4', '5', '6']",0,0.8550231707835552,0.9917091836734694
8,['8'],"['2', '4', '5', '6']",1,0.8765783767696952,0.9910714285714286
8,['8'],"['2', '4', '5', '6']",2,0.860295055482335,0.9923469387755102
8,['8'],"['2', '4', '5', '6']",3,0.8497512860847753,0.9929846938775511
8,['8'],"['2', '4', '5', '6']",4,0.8667998809574423,0.9914965986394558
